location,bhk,total_sqft,,balcony
Lingadheeranahalli,2,790,,1
Gokula Extension,3,1569,,2
Nehru Nagar,1,600,,0
Marathahalli,1,615,,1
Jakkur,2,905,,2
Hoysalanagar,2,1000,,0
Yelahanka,1,615,,1
Kumaraswami Layout,3,1470,,3
Vijayanagar,2,1244,,2
Kanakpura Road,2,1407,,1
Whitefield,1,1200,,1
Uttarahalli,2,1045,,1
Yeshwanthpur,3,2086,,2
Bhoganhalli,2,1313,,2
Ramakrishnappa Layout,1,750,,2
AGS Layout,3,1260,,1
Vishwanatha Nagenahalli,3,1300,,1
Bellandur,1,775,,0
KR Garden,2,1010,,1
Bellandur,2,1010,,1
Haralur Road,1,469,,0
Whitefield,2,1250,,1
Kanakadasa Layout,2,1355,,3
Lakshminarayana Pura,2,745,,1
Yeshwanthpur,2,1100,,2
Anandapura,3,1650,,3
Lingarajapuram,3,1800,,1
Malleshwaram,2,1175,,1
Mallathahalli,4,2250,,1
Indira Nagar,3,3095,,3
Jayamahal Extension,3,1875,,3
Devanahalli,2,900,,2
Sector 2 HSR Layout,2,1036,,2
Kanakpura Road,2,1200,,1
Laxminarayana Layout,2,965,,1
Marathahalli,3,1740,,3
Koramangala,2,984,,2
Kothanur,2,918,,2
Kasturi Nagar,2,918,,2
Yelahanka,2,914,,2
Sanjay nagar,2,927,,2
Chikkalasandra,2,920,,2
Yelahanka New Town,3,2400,,1
Benson Town,2,918,,2
Thanisandra,2,918,,2
Dooravani Nagar,2,933,,2
Sadashiva Nagar,2,918,,2
Mallasandra,3,2400,,2
Banagiri Nagar,2,937,,1
Sarjapur  Road,2,923,,1
Ramamurthy Nagar,3,1221,,3
Kathriguppe,2,918,,1
Kasavanhalli,2,914,,2
Budigere,2,918,,2
Sonnenahalli,3,1200,,2
Akshya Nagar,2,914,,2
Basaveshwara Nagar Yelahanka,3,1221,,3
Yeshwanthpur,3,1252,,3
Thyagaraja Nagar,2,939,,2
Whitefield,3,1221,,3
Uttarahalli,2,943,,2
Kothanur,2,918,,2
Pattandur Agrahara,2,943,,2
Hennur,2,1200,,0
Somasundara Palya,3,1320,,1
Munnekollal,4,2400,,2
HOSUR MAIN ROAD,3,1300,,1
Kanakpura Road,3,2070,,3
Shivaji Nagar,3,1700,,2
Sahyadri Layout,3,1100,,1
1st Phase JP Nagar,2,1165,,1
Mathikere SBM colony,5,5400,,1.584375738
"white field,kadugodi",4,1500,,2
Kodihalli,2,900,,1
Devanahalli,3,1989,,3
Indira Nagar,3,1300,,2
Electronic City,3,1100,,2
Begur Road,3,1500,,1
Mahalakshmi Layout,2,925,,2
Kodichikkanahalli,2,1200,,3
Uttarahalli,2,1050,,2
Channasandra,1,950,,1
Hebbal,1,1050,,2
Hoodi,2,1277.5,,0
Thanisandra,2,930,,2
Bagalur,2,1155,,2
Vinayak Nagar,2,1225,,1
Harlur,2,1100,,1
Hegde Nagar,2,1200,,0
P Krishnappa Layout,2,750,,1
Green Garden Layout,2,1015,,1
R.T. Nagar,2,1470,,2
Sarjapur  Road,1,714,,1
Kalkere,2,1142,,1
Crimson Layout,2,1115,,2
Manjunath Nagar,2,1021,,1
Kodichikkanahalli,3,1559,,0
Hebbal,2,1035,,1
Jigani,2,1550,,1
Electronic City Phase II,2,1192.5,,0
Uttarahalli,2,1100,,1
Jakkur,2,1290,,1
Adityanagar,2,1100,,2
Ambedkar Nagar,2,950,,1
HSR Layout,2,1156,,1
RMV 2nd Stage,2,1000,,0
Hennur,2,1001,,2
Rajaji Nagar,2,750,,0
Kudlu Gate,2,1000,,1
Dodda Nekkundi,2,1200,,3
Kanaka Nagar,2,1200,,0
Kundalahalli,2,1076,,2
Jigani,2,1140,,1
Cooke Town,6,4300,,2
Yelahanka New Town,2,1200,,1
Chikka Tirupathi,2,1040,,2
Banashankari Stage III,2,734,,1
Hanumantha Nagar,2,1120,,2
Raja Rajeshwari Nagar,2,1150,,1
Kanakpura Road,9,4600,,2
Varthur,2,1050,,2
Bagalakunte,2,1057,,2
Balagere,2,1085,,1
T Dasarahalli,3,1700,,3
Electronic City,2,1200,,1
Thanisandra,4,3628,,1
Kanakpura Road,2,2000,,0
Yeshwanthpur,2,1100,,2
Kundalahalli,2,1035,,2
Thanisandra,2,1116,,1
Muthurayya Swamy Layout,2,1290,,2
Green Glen Layout,3,1300,,2
Whitefield,2,866.28,,0
Hennur Road,2,1096,,1
Narayanapura,2,1204,,2
Dommasandra,1,700,,1
Electronic City,2,1205,,1
Indira Nagar,3,1827,,2
Sarjapur  Road,2,1075,,2
Whitefield,2,1100,,1
Whitefield,7,2800,,1
Thirumenahalli,2,1020,,2
Thanisandra,2,1200,,0
Yelahanka,2,1245,,1
Lavelle Road,2,1200,,3
Mysore Road,3,1464,,2
Dollars Colony,3,1464,,2
Cox Town,3,1464,,3
Doddathoguru,3,1464,,2
Whitefield,3,1464,,2
Rajiv Gandhi Nagar,2,1464,,2
Goraguntepalya,3,1464,,2
Sarjapura - Attibele Road,3,1464,,2
Hormavu,2,861,,1
Anandapura,2,827,,0
Bommenahalli,2,1256,,1
Sarjapur  Road,3,1850,,3
Rajankunte,3,1400,,3
Bannerghatta Road,2,1256,,1
Thigalarapalya,2,1115,,1
Kaggadasapura,2,935,,2
Singasandra,3,1665,,3
Bellandur,3,1532,,1
Kannamangala,3,1545,,2
BEML Layout,3,1424,,2
Ananth Nagar,2,1257,,2
Attibele,3,1365,,1
Kanakapura,2,1257,,1
Kasavanhalli,2,1184,,1
JP Nagar,2,1185,,3
Babusapalaya,2,1140,,1
HSR Layout,3,1762,,3
Kundalahalli,2,1198,,2
Whitefield,3,1890,,3
Sompura,4,3750,,0
Sarjapur  Road,3,1762,,3
Jakkur,3,1900,,1.584375738
6th Block Rajaji Nagar,2,1314,,3
Sarjapur  Road,3,1645,,2
Talaghattapura,2,1100,,1
Uttarahalli,2,1314,,2
Vishwapriya Layout,3,1762,,3
Banashankari,2,1314,,3
Subramanyapura,1,925,,0
Tindlu,3,1351,,2
Channasandra,2,1010,,1
Uttarahalli,3,1890,,3
Haralur Road,2,1152,,2
MLA Layout,2,1394,,2
Kundalahalli,3,1762,,3
Sarjapur,3,1890,,3
Kasavanhalli,2,1088,,2
Sonnenahalli,3,1875,,1
Sarjapur  Road,2,1150,,2
Binny Pete,3,1762,,3
Marathahalli,2,1314,,3
Rajiv Nagar,2,1196,,3
Venkatadri Layout,2,800,,0
Koramangala Industrial Layout,3,1280,,2
Kyalasanahalli,2,1275,,2
Ambedkar Colony,4,2150,,1
Brookefield,2,1150,,3
Thigalarapalya,2,1110,,3
Sarjapura - Attibele Road,2,1060,,2
Yeshwanthpur,2,1063,,2
Chandapura,3,1470,,2
Electronics City Phase 1,2,1050,,2
B Narayanapura,2,1132,,2
Siddapura,2,1100,,3
 Devarabeesana Halli,2,1325,,2
Motappa Layout,2,1200,,2
Malleshwaram,2,1035,,2
Byrasandra,2,1180,,0
Victoria Layout,2,1140,,2
7th Phase JP Nagar,3,1340,,1
Rustam Bagh Layout,3,1500,,0
Byagadadhenahalli,2,1215,,3
Hormavu,2,1225,,2
Yelachenahalli,3,1540,,1.584375738
Singasandra,2,1240,,3
Begur Road,3,1560,,3
Bommanahalli,2,1240,,1
Hennur Road,2,1000,,2
Hosa Road,2,1225,,2
Electronic City,2,960,,1
Meenakunte,2,775,,2
Kanakpura Road,3,1455,,3
Kengeri,2,1045,,2
Kannamangala,3,1654,,3
Yelahanka,2,1106,,3
Thigalarapalya,3,1485,,2
Basapura,2,1175,,2
Thippasandra,2,1105,,1
Varthur,3,1500,,2
Banagiri Nagar,3,1400,,2
Kumara Park,2,1150,,2
Nagadevanahalli,1,700,,0
Electronic City Phase II,1,700,,0
Sarjapur  Road,2,950,,1
Jakkur,2,1000,,1
Nagarbhavi,2,950,,1
Hebbal,2,950,,1
Sarakki Nagar,3,1150,,1
Malleshwaram,1,700,,0
Kaggadasapura,2,950,,1
Roopena Agrahara,2,950,,1
Madiwala,3,1645,,2
Hosakerehalli,2,1115,,2
Begur Road,3,1220,,2
Sarjapur  Road,2,1300,,2
CV Raman Nagar,4,1700,,1.584375738
Hebbal,3,1342,,3
Hoodi,3,1605,,3
Rajarajeshwari Nagara,2,1253,,2
Hebbal,2,991,,0
Sector 2 HSR Layout,2,1250,,1
Raja Rajeshwari Nagar,6,3381,,3
Gottigere,2,1200,,2
1st Phase JP Nagar,3,1804,,2
Kanakpura Road,3,1425,,1
Bhoganhalli,2,1325,,2
Whitefield,3,1450,,3
KR Layout,2,980,,1
Kanakpura Road,2,1187,,3
Talaghattapura,2,800,,2
Marathahalli,3,1565,,2
Ramamurthy Nagar,1,610,,1
Laggere,2,1040,,2
Anekal,3,1450,,3
Chandapura,2,1200,,2
Celebrity Paradise Layout,3,1902,,2
St Thomas Town,2,800,,1
Electronic City,2,1222,,3
Ckikkakammana Halli,2,900,,1
Banashankari 2nd Stage,3,1837,,2
Uttarahalli,3,1510,,2
Binny Pete,2,1354,,2
Doddathoguru,2,1200,,2
Hebbal,2,1354,,2
Jalahalli East,2,856,,3
Haralur Road,2,925,,2
5th Block Hbr Layout,2,925,,2
Babusapalaya,2,1147,,1
Munivenkatppa Layout,2,925,,3
Akshaya Nagar,3,1850,,3
Akshaya Nagar,2,925,,1
Yelahanka,2,1050,,2
Murugeshpalya,2,1054,,1
Sarjapura - Attibele Road,2,1255,,3
Uttarahalli,3,1375,,2
Electronic City,2,820,,0
Vijaya Bank Layout,4,3800,,3
Judicial Layout,3,1640,,3
Whitefield,2,1080,,2
Ferrar Nagar,4,2422,,2
Koramangala,2,1280,,1
Kasavanhalli,2,1198,,1
Bank Of Baroda Colony,2,1250,,2
Electronic City Phase II,2,1190,,1
Doddathoguru,2,1086,,2
Poorna Pragna Layout,3,2285,,1
Somasundara Palya,2,1100,,1
Kamala Nagar,2,1150,,1
Binny Pete,3,1155,,0
Kumarapalli,2,1044,,2
Kasturi Nagar,1,450,,0
Kambipura,6,2750,,3
Outer Ring Road East,2,1000,,1
Marathahalli,2,700,,0
Kasavanhalli,1,565,,1
Whitefield,2,883,,1
Marenahalli,3,1082,,1
Hebbal Kempapura,2,883,,1
HAL 3rd Stage,2,883,,1
Kengeri,2,883,,1
Marsur,2,883,,1
Basavangudi,3,1082,,1
Kaikondrahalli,2,883,,1
Lingadheeranahalli,2,883,,1
Yelahanka,2,883,,1
Hennur Road,2,883,,1
Vishwapriya Layout,2,883,,1
Ambalipura,2,883,,1
Konanakunte,2,883,,1
EPIP Zone,2,883,,1
Sarjapur  Road,3,1082,,1
Nagawara Junction,2,1263,,1
Lingarajapuram,6,2700,,3
Horamavu Banaswadi,3,1347,,2
Vasantha Vallabha Nagar,5,2845,,1
Yelahanka New Town,1,700,,0
Varthur,2,1200,,2
Ramamurthy Nagar,2,1100,,1
Sarjapur  Road,2,1200,,1
Chandra Layout,4,2900,,2
Haralur Road,2,1200,,2
Kanakapura,3,1595,,2
Lingadheeranahalli,2,810,,2
Maithri Layout,1,657.5,,0
Vasanthapura,2,1156,,2
Old Madras Road,2,870,,1
Marathahalli,2,1018,,0
Kothanur,2,990,,1
Marathahalli,2,930,,0
Raja Rajeshwari Nagar 5th Stage,2,992,,2
Electronics City Phase 1,2,1030,,2
Old Airport Road,2,1015,,2
Electronic City,2,1080,,1
Electronic City Phase II,2,1415,,2
Electronic City,2,1057,,1
Hennur Road,2,982,,2
Hosur Road,2,985,,1
Bommasandra,2,940,,2
Sarjapur,1,610,,1
Electronic City,3,2479.13,,1
Yelahanka,3,1365,,0
Haralur Road,3,2274.24,,1
Somasundara Palya,4,1600,,2
Nanjappa Garden,3,1419,,3
Kundalahalli,1,711,,1
Margondanahalli,1,711,,1
Chennammana Kere,2,929,,1
Electronic City,1,551,,1
Horamavu Agara,2,1020,,1
Kengeri,3,1699,,3
Kanakpura Road,2,1130,,1
Thanisandra,3,1476,,1
Sarjapur  Road,2,1295,,2
Lakshminarayana Pura,2,1160,,1
Thubarahalli,2,1277,,2
Hebbal,2,1151,,1
Subramanyapura,2,945,,1
Thanisandra,3,1254,,2
Harlur,3,2200,,1
Nagarbhavi,2,1340,,2
Hebbal,3,1450,,1
Nagadevanahalli,2,1130,,1
Pai Layout,2,1283,,2
Ramamurthy Nagar,4,2130,,0
Vayunandana Layout,1,938,,1
Raja Rajeshwari Nagar,1,825,,0
Hebbal,3,1489,,1
Geetanjali Layout,3,1477,,1
7th Phase JP Nagar,2,700,,1
Kanakpura Road,3,1665,,2
7th Phase JP Nagar,2,950,,1
Kenchenhalli,4,2250,,1
Hoodi,1,525,,1
Iblur Village,1,525,,1
Sarjapur  Road,3,1100,,1
Nagarbhavi,1,525,,1
Sarjapur  Road,2,1339,,3
Talaghattapura,3,1100,,2
"EPIP AREA, WHITEFIELD",1,525,,1
Seegehalli,3,1843,,2
Rajaji Nagar,2,1290,,3
Whitefield,3,1665,,2
Hebbal,3,1542,,3
1st Stage Domlur,3,1300,,3
"RMV extension stage 2, rmv extension",2,1495,,2
Kalyan nagar,3,1560,,1.584375738
Bannerghatta Road,3,1420,,2
Bannerghatta Road,1,825,,0
Chandapura,2,983,,1
R.T. Nagar,3,1843,,2
Lakshminarayana Pura,3,1500,,2
Whitefield,2,1366,,1
Kalhalli,1,525,,1
Kumaraswami Layout,3,2265,,2
Jalahalli,3,2200,,2
KR Puram,1,525,,1
Sector 2 HSR Layout,2,1051,,2
Harlur,1,525,,1
Electronic City,3,1300,,2
Kudlu,2,700,,1
Tavarekere,1,458,,0
Sarjapur  Road,3,1700,,3
Kamakshipalya,4,2775,,1
Hadosiddapura,3,1900,,1
Kudlu Gate,2,1290,,3
Vijaya Bank Colony,3,1868,,2
Bellandur,2,1366,,1
Narayanapura,2,700,,1
Begur Road,2,1339,,2
Kumarapalli,1,670,,1
Lakshmi Layout,1,525,,1
Kammasandra,3,1498,,2
Whitefield,3,1665,,2
Electronic City,3,1665,,2
Old Airport Road,1,712,,1
Lakkasandra,3,1507,,3
Sarjapur  Road,2,1339,,2
KR Puram,1,525,,1
Kanakpura Road,1,525,,1
Banashankari,1,525,,1
Devanahalli,1,525,,1
"JP Nagar 8th Phase, ",3,1050,,1
Kachanayakanahalli,3,1600,,3
Bannerghatta Road,3,1100,,2
Nagaraja Garden,3,1843,,2
Tejaswini Nagar,2,1240,,2
Ashwath Nagar,2,700,,1
1 Annasandrapalya,2,700,,1
Hebbal,3,1100,,1
Margondanahalli,2,1140,,1
Gunjur,2,700,,1
Domlur,1,525,,1
Yelenahalli,2,1322,,3
Whitefield,2,1698,,1
Harlur,3,1300,,2
Old Airport Road,3,1300,,1
Jigani,2,1167,,1
Bommasandra,3,1300,,1
Huskur,2,1430,,2
Whitefield,2,700,,1
6th block Koramangala,3,1100,,2
4th Block Koramangala,3,1300,,3
Hebbal,3,2000,,3
Whitefield,2,1200,,0
Whitefield,3,1843,,2
Marathahalli,2,900,,1
Doddathoguru,1,850,,1
Nagadevanahalli,1,525,,1
Kathriguppe,3,1938,,3
Kengeri Satellite Town,3,1843,,2
Kothanur,1,525,,1
Domlur,2,700,,2
Hebbal,3,1622,,1.584375738
Tindlu,2,957,,1
Yelahanka,2,957,,1
Rajaji Nagar,4,3000,,0
KSRTC Layout,3,1536,,1
KR Puram,4,2400,,1
"JP nagar 9th Phase, ",3,1574,,1
Keshava Nagar,2,957,,0
Dollars Layout,3,1536,,1
Electronic City Phase II,2,957,,2
Electronic City,4,2422,,3
Whitefield,2,957,,1
Tumkur Road,2,957,,2
Banashankari Stage III,3,2500,,2
Kaval Byrasandra,3,2500,,2
Vignana Nagar,3,1962,,2
Bannerghatta,2,1057,,1
Whitefield,3,1354,,1
Uttarahalli,3,1945,,3
Anandapura,3,1960,,2
AECS Layout,2,1060,,2
HBR Layout,3,1563.05,,1
Varthur,3,1717,,3
NGR Layout,4,3260,,1
Bannerghatta Road,2,1349,,2
4th Block Jayanagar,2,1121,,2
Rachenahalli,2,1100,,1
Battarahalli,2,1200,,1
Rachenahalli,3,1476,,0
Kudlu Gate,2,1200,,2
Nagavarapalya,3,1719,,2
Bellandur,2,1115,,2
Hosa Road,2,1125,,1
Gottigere,3,2170,,2
Bannerghatta Road,3,1476,,1
Whitefield,2,1200,,1
Hebbal,3,1787,,2
2nd Block Hrbr Layout,2,1090,,2
Kuvempu Nagar,3,1691,,2
Karnataka Shabarimala,4,4260,,3
Indira Nagar,3,2111,,3
Kengeri,2,950,,1
Singena Agrahara,2,1105,,2
Hebbal,1,770,,1
Horamavu Agara,2,1147,,1
Begur Road,2,1375,,2
Doddathoguru,2,1200,,2
Kanakpura Road,4,4260,,2
Hormavu,2,1495,,2
Canara Bank Colony,4,4000,,2
Kogilu,3,1225,,1
Hanumagiri,3,1917,,2
Benson Town,2,1375,,1
Ramagondanahalli,4,4408,,2
Talaghattapura,2,1309,,2
Electronic City,3,1476,,0
Kanakpura Road,2,1158,,2
Sarjapur  Road,2,1214,,3
Ardendale,3,2110,,3
Hulimavu,2,1495,,2
JP Nagar,2,1575,,3
Thigalarapalya,2,1069,,2
Kasturi Nagar,2,1100,,1
Sonnenahalli,3,1715,,3
Begur Road,2,1100,,1
Electronic City Phase II,2,1230,,2
Cholanayakanahalli,2,1585,,2
Hoodi,2,1245,,2
Ananth Nagar,3,2035,,2
Sarjapur  Road,3,1747,,1
Thanisandra,2,1377,,2
BEML Layout,2,1181,,1
Iblur Village,2,1121,,2
Kudlu,2,1200,,2
Hulimavu,3,1925,,1.584375738
Electronic City,2,1567,,2
Thanisandra,3,1565,,2
Horamavu Banaswadi,2,1101,,2
Raja Rajeshwari Nagar,4,1896,,1
Seshadripuram,2,1000,,0
Thanisandra,2,1101,,2
Choodasandra,4,2507,,2
Gubbalala,3,1400,,2
Vijaya Bank Layout,3,1250,,1
Hosakerehalli,3,1245,,2
Kogilu,3,1350,,1
Jakkur,3,1350,,2
6th Phase JP Nagar,3,1365,,2
Green Glen Layout,3,1300,,2
Bisuvanahalli,3,1350,,1
Kannamangala,3,1390,,2
Sanjay nagar,3,1350,,3
Marathahalli,3,1250,,2
Akshayanagara West,3,1300,,2
Kambipura,3,1335,,3
Uttarahalli,3,1300,,2
Hebbal,3,1300,,3
Prasanth Extension,3,1335,,2
Chikkathoguru,3,1350,,2
1st Block Koramangala,2,1250,,1
Ardendale,3,1350,,2
Kanakpura Road,7,4100,,1.584375738
Electronic City Phase II,7,2800,,2
Doctors Layout,2,1062,,2
Anand nagar,2,1200,,0
Sarjapur  Road,2,1200,,2
Uttarahalli,2,1020,,1
Hebbal,2,1200,,1
West of Chord Road,2,945,,2
Electronic City Phase II,2,1060,,2
Pai Layout,2,1100,,1
Keshava Nagar,2,1185,,1
Somasundara Palya,2,997,,3
Chandapura,2,1060,,2
Murugeshpalya,1,480,,1
Ramakrishnappa Layout,2,1125,,1
"Hoodi Circle, ",2,1180,,2
Junnasandra,3,1450,,2
Doddaballapur,2,1066,,3
Kalena Agrahara,2,1025,,1
Handenahalli,3,1400,,2
Hormavu,2,1269.72,,2
Bannerghatta Road,2,1265,,3
Electronic City,2,1012,,1
Akshaya Nagar,2,1250,,1
Banagiri Nagar,3,1540,,3
Yelahanka,2,1220,,1
Nagadevanahalli,4,3535,,2
NGR Layout,3,1900,,3
"Sarjapur Road, ",5,4200,,2
Varthur,2,1015,,2
Raja Rajeshwari Nagar,2,1150,,2
Kumaraswami Layout,3,1280,,2
Hoodi,3,1410,,2
manyata tech park,2,870,,1
Frazer Town,2,1150,,2
Divya Unnathi Layout,1,700,,1
Jigani,2,1060,,2
Green Glen Layout,2,1150,,2
Panathur,3,1720,,1.584375738
Kasavanhalli,2,750,,1
Yelachenahalli,2,1200,,0
Ashwathnagar,2,1025,,2
Gopalkrishna Nagar,3,1082,,1
Babusapalaya,2,750,,1
Marathahalli,2,726,,1
Mallasandra,1,416,,1
Devanahalli,2,900,,2
Hosur Road,1,502,,1
Wilson Garden,3,1200,,1
Sarvabhouma Nagar,1,500,,1
Gottigere,1,540,,1
Yelahanka,2,750,,1
Bisuvanahalli,3,1741,,2
7th Phase JP Nagar,2,1200,,0
Hoysalanagar,2,750,,1
Rajaji Nagar,1,416,,1
SMV layout,2,883,,0
Billekahalli,2,1052,,2
Roopena Agrahara,2,1220,,2
Kudlu Gate,1,1150,,0
Doddaballapur,2,1192,,2
Padmanabhanagar,2,750,,1
Poorna Pragna Layout,1,600,,1
Uttarahalli,2,1035,,1
CQAL LAYOUT C BLOCK,8,3000,,1.584375738
Electronic City,1,410,,1
R.T. Nagar,1,416,,1
Bannerghatta Road,5,2500,,3
Vittasandra,3,1082,,0
Malleshpalya,2,1840,,0
Kasavanhalli,2,890,,1
Murugeshpalya,2,883,,1
Channasandra Layout,3,1415,,3
"Near Electronic City, ",1,930,,1
Virat Nagar,3,1635,,1.584375738
EPIP Zone,2,1050,,2
Marathahalli,2,1007,,3
Hulimavu,2,818,,1
Kacharakanahalli,2,1030,,2
Indira Nagar,2,795,,2
Whitefield,2,1302.5,,0
Ulsoor,2,800,,1
Veerannapalya,1,654,,1
Hebbal Kempapura,2,1060,,3
Hosur Road,2,750,,1
Jakkur,2,920,,3
Electronic City,2,985,,2
Bagalakunte,1,410,,1
Banashankari stage 2,2,1120,,2
Doddanakundi Industrial Area 2,2,1110,,1
Subramanyapura,2,1170,,3
Jigani,2,777.4,,0
Green Glen Layout,2,800,,1
Electronics City Phase 1,2,950,,1
TC Palaya,3,1400,,2
Indira Nagar,2,800,,2
Hennur Road,2,904,,1
Sector 7 HSR Layout,2,1000,,2
Jalahalli,3,1240,,2
Whitefield,1,600,,1
Chandapura,2,1080,,2
OLd Gurappanapalya,2,1000,,1
Prithvi Layout,2,1015,,1
Electronic City,3,1839,,3
"ECC Road, Whitefield, ",3,1904,,3
Hegde Nagar,2,1517,,2
Ramanjaneyanagar,3,1839,,3
Sarjapur  Road,4,2400,,2
Marathahalli,3,1200,,1
Hoskote,2,850,,2
Kanakpura Road,2,829,,1
Neeladri Nagar,3,1976,,1
Chikkadunnasandra,2,1012,,1
Ramamurthy Nagar,2,1012,,2
Whitefield,3,1480,,2
Bommanahalli,3,1430,,2
Bannerghatta Road,2,1245,,3
Kanakapura,2,1012,,1
Uttarahalli,3,1190,,2
Garudachar Palya,2,995,,1
Akshya Nagar,3,1495,,2
Hebbal,2,1125,,1
Babusapalaya,2,1150,,3
7th Phase JP Nagar,2,1070,,3
Banashankari Stage V,3,1620,,2
Dasarahalli,2,1026,,1
Indranagar  100ft road defence colony,1,450,,1
Canara Bank Colony,2,907,,2
Balagere,2,1181,,2
Wajid layout thanisandra,2,900,,1
Kothanur,3,1400,,3
Marathahalli,2,976,,1
Somasundara Palya,5,2700,,2
R.T. Nagar,2,1299,,3
BTM Layout,2,1166,,2
Rajaji Nagar,3,1320,,0
Rayasandra,2,1117,,2
Dodda Nekkundi,2,1200,,1
B Channasandra,2,1200,,2
Electronic City,2,1013,,1
Kadubeesanahalli,3,1324,,2
Hennur,2,965,,1
Laxmi Sagar Layout,2,866,,2
Tumkur Road,3,1442,,2
Thanisandra,2,1270,,1
Rajaji Nagar,1,655,,1
ITPL,3,1820,,2
Achins Road,4,3252,,3
Uvce Layout,3,2700,,1
Panduranga Nagar,3,2392,,2
HRBR Layout,3,2408,,2
New Thippasandra,3,2500,,1
Rachenahalli,3,1620,,2
Hebbal,4,3260,,3
HSR Layout,4,3197,,2
Electronic City,2,1490,,1
Budigere,4,1440,,0
Thigalarapalya,3,1909,,2
Raja Rajeshwari Nagar,2,1170,,1
Hoodi,2,1140,,1
Hennur Road,2,1200,,1
Thigalarapalya,1,540,,0
Kumaraswami Layout,2,1190,,2
KR Puram,2,1140,,2
Sahakara Nagar,3,1559,,2
Gattigere,1,700,,1
Benson Town,2,1250,,1
NRI Layout,2,1200,,1
Lakshminarayana Pura,2,952,,2
Bisuvanahalli,1,700,,1
Roopena Agrahara,2,1250,,1
Bannerghatta Road,7,2456,,2
Kanakpura Road,2,1140,,2
Banashankari Stage III,2,1140,,2
Hegde Nagar,3,2791,,1
Jakkur,2,884,,0
Hoskote,3,1400,,1
Cottonpet,4,3000,,3
Yelachenahalli,3,2400,,3
Lakshminarayana Pura,3,1423,,2
Kamakshipalya,2,3040,,1
Hormavu,2,1165,,2
Kanakpura Road,2,1050,,2
Yemlur,2,1075,,1
Hoodi,2,1000,,1
Somasundara Palya,2,1320,,1
Badavala Nagar,2,1253,,1
Doddathoguru,3,1580,,2
6th Phase JP Nagar,4,3500,,2
Hosur Road,2,1005,,1
Maragondanahalli,3,2292,,1
P&T Layout,2,1290,,3
Basavanna Nagar,2,1300,,3
Canara Bank Layout,2,1325,,2
singapura paradise,2,1140,,1
Nehru Nagar,2,1260,,3
Kannur,3,1975,,1.584375738
Yelenahalli,2,1900,,1
Raja Rajeshwari Nagar,3,2292,,2
Kanakpura Road,3,2300,,3
Thirumenahalli,2,1320,,1
Dollars Colony,2,1320,,2
Uttarahalli,4,5985,,1.584375738
Green Glen Layout,3,2246,,0
Basavangudi,2,1083,,1
Electronic City,3,1744,,1
8th Phase JP Nagar,2,1180,,1
Kasavanhalli,2,1320,,1
4th Block Koramangala,2,1370,,2
Banashankari,2,1100,,2
Whitefield,2,1249,,1
Kanakpura Road,2,1200,,2
Marathahalli,3,2223,,2
Kalyan nagar,3,1744,,1
Banashankari,3,1866,,2
Bommasandra,2,1320,,1
Defence Colony,2,1350,,2
Banashankari,4,6000,,0
Nagarbhavi,2,1320,,1
Yelahanka,3,1710,,2
Cambridge Layout,2,1355,,2
Kanakapura,3,1600,,1
Uttarahalli,2,1260,,1
Byagadadhenahalli,4,5000,,1.584375738
Whitefield,2,1206,,1
Hosa Road,2,1100,,2
Hennur Road,2,1197,,1
Tumkur Road,2,1197,,1
Hebbal Kempapura,2,1070,,1
Marathahalli,2,1070,,2
Raja Rajeshwari Nagar,3,1485,,2
Malleshwaram,3,1215,,3
Jayanagar,3,1404,,1
Amruthahalli,2,1200,,1
Kengeri Satellite Town,3,2400,,1
Ardendale,3,1828,,1.584375738
Thanisandra,2,1186,,2
Vidyaranyapura,3,1847,,2
Old Madras Road,5,9600,,2
Sarjapur,3,1435,,3
8th Phase JP Nagar,2,1187,,2
Panathur,3,1847,,2
Jakkur,3,1460,,3
Sampangi Rama Nagar,2,1185,,2
Hennur Road,3,1436,,3
Hebbal,3,1462,,3
Whitefield,3,1790,,2
Whitefield,2,1070,,1
Whitefield,2,1145,,2
Cooke Town,4,3401,,1.584375738
Hosa Road,2,1455,,1.584375738
Jalahalli West,1,627,,1
Bannerghatta Road,2,1302,,1
Kanakapura,3,1760,,1.584375738
Begur Road,2,1185,,2
Budigere,1,1500,,0
Akshaya Nagar,2,1075,,2
BEML Layout 5th stage,3,1790,,0
Electronic City Phase II,4,2700,,2
Laggere,3,1786,,2
Kanakpura Road,3,1787,,2
Yelahanka,2,1141,,2
Anjanapura,3,1760,,1.584375738
Koramangala,2,1160,,2
Hunasamaranahalli,2,1095,,2
Marathahalli,2,1142,,2
Panathur,2,1074,,2
Pragathi Nagar,2,1285,,1
Sarjapur,2,1075,,2
Banashankari,2,1140,,2
Devanahalli,2,1400,,1
Kothanur,2,1140,,2
Marathahalli,3,1787,,2
Kammasandra,2,1185,,2
Varthur,3,1790,,2
Sahakara Nagar,2,1130,,2
Malleshwaram,2,1094,,2
JP Nagar,3,1170,,2
Electronic City Phase II,2,1400,,2
Ramesh Nagar,2,1195,,2
EPIP Zone,3,1790,,2
CV Raman Nagar,3,1454,,3
Whitefield,2,1100,,2
JP Nagar,3,2180,,1.584375738
HAL 2nd Stage,3,2180,,3
8th block Koramangala,2,1152,,1
Whitefield,2,1027,,2
Yelahanka,2,1092,,2
Sathya Sai Layout,2,1027,,2
