location,bhk,total_sqft,bath,price
Nagondanahalli,2,600,2,77
Bannerghatta Road,2,1556,2,49
Bannerghatta Road,2,1179,2,67
Thanisandra,2,1296,2,50
Kaggadasapura,3,1275,3,90.75
Kalasipalya,3,1875,3,101
Kathriguppe,2,1400,2,80.43
Gottigere,2,1222,2,87.8
Electronic City,2,940,2,42.83
Thanisandra,3,1185,3,80
Tumkur Road,3,1779,3,115
Begur Road,3,1615,3,125
JP Nagar,2,4000 - 5249,2,41.13
Haralur Road,2,1056,2,50.75
7th Phase JP Nagar,3,1100,3,108
Arekere,3,920,3,125
ITI Layout,3,1602,3,74.52
Padmanabhanagar,2,1176,2,63
HBR Layout,2,675,2,40.79
Richmond Town,2,1352,2,75
Kasavanhalli,3,1717,3,85
4 Bedroom Farm House in Bagalur,2,10961,2,150
Bhoganhalli,3,2119,2,120
Vittasandra,5,1246,3,510
Anandapura,3,1141,2,59.52
Hennur Road,2,1157,2,110
Chandapura,3,1025,2,95
Yelahanka New Town,3,650,2,300
Hebbal,2,1349,2,100
Narayanapura,5,1566,3,425
Sahakara Nagar,3,2830,3,450
Electronic City,3,1320,2,198
manyata park,2,1780,2,125
Varthur,3,1091,2,58.7
Rachenahalli,2,3670,2,58.4
7th Phase JP Nagar,3,918,3,118
Yeshwanthpur,3,1950,2,68
Panathur,3,1695,2,59
Yelahanka,3,1705,2,60
Kalyan nagar,2,1375,2,42
Kanakpura Road,3,525,2,59
Whitefield,3,1447,3,75.48
Thanisandra,3,1114,2,59
7th Phase JP Nagar,2,1450,2,111
Belathur,6,460,6,150
Vasanthapura,2,1022,2,50
Hebbal,3,1000,2,100
Electronic City,4,1128,3,147
Kanakpura Road,3,1180,2,95
TC Palaya,3,1000,2,58.5
Nagarbhavi,3,1200,2,49
Sadashiva Nagar,2,3761,2,35.77
Kanakpura Road,3,1339,2,61
Yelachenahalli,3,1400,3,47.57
7th Phase JP Nagar,3,1040,3,51.98
Kadugodi,3,1198,3,51.35
Shirdi Sai Layout,3,1200,3,47.57
Sarjapur  Road,3,1691,2,49
Bisuvanahalli,3,1075,3,48.51
1st Block Jayanagar,2,1630,2,41.5
8th Phase JP Nagar,2,1240,2,59.935
Bannerghatta Road,4,1115 - 1130,4,190
Mallasandra,2,1665,2,59
Marathahalli,2,2489,2,59.47
Brookefield,3,1142,2,71.73
Kodbisanhalli,3,1976,3,69.46
Sathya Sai Layout,3,5500,2,70.385
Kothannur,4,1853,3,200
Vijayanagar,2,600,2,53
Kasturi Nagar,2,1567,2,55
Talaghattapura,2,1090,2,60
Raja Rajeshwari Nagar,2,1200,2,73
Indiranagar HAL 2nd Stage,5,2400,6,140
Electronics City Phase 1,2,1175,2,80
Subramanyapura,2,1200,2,38
Kodichikkanahalli,2,995,2,60
Magadi Road,2,884,2,73
Vishwanatha Nagenahalli,2,900,2,52
Yeshwanthpur,2,1170,2,57
KR Puram,2,1225,2,70
Electronic City,2,1342,2,64.8
Uttarahalli,3,1345,4,140
Kodigehaali,2,1320,2,185
Singapura Village,2,1100Sq. Yards,2,55
Raja Rajeshwari Nagar,5,1140,5,325
Battarahalli,3,1300,3,110
Hosa Road,3,1652,4,195
Thigalarapalya,2,2072,2,66
Arekere,2,1740,2,70
Electronic City,2,1360,2,73.2
Hosur Road,2,1145,2,87
Uttarahalli,3,1540,3,124
Sarjapur  Road,3,1278,3,150
Electronic City Phase II,1,630,1,18.5
Kanakpura Road,2,1100,2,65
Bendiganahalli,3,1200,2,66
Hosakerehalli Layout,1,2500,1,33.32
Chandapura,3,520 - 645,3,95
Chandapura,3,1015,2,120
Hosur Road,3,3300,2,90
Basaveshwara Nagar,2,4500,2,66.02
Gunjur,2,1356,2,58.935
Hennagara,2,823,2,45
TC Palaya,2,1200,2,78
Ramamurthy Nagar,2,1050,2,50
Ferrar Nagar,3,1180,3,100
Whitefield,2,1116,2,55
7th Phase JP Nagar,2,1070,2,75
Varthur,1,1385,1,31.83
Varthur,2,1000,2,51
Whitefield,2,1897,2,65.26
Magadi Road,3,1005,3,82
Green Glen Layout,3,1575,3,122
Subramanyapura,2,975,2,55
Hennur Road,2,1904,2,73
Kengeri Satellite Town,2,930,2,65.12
Kanakpura Road,3,525,3,100
BAGUR,3,686,3,95
Electronic City Phase II,2,2400,2,65
8th block Koramangala,2,1410,2,39
Sarjapur  Road,2,2238,2,70
Harlur,2,1174,2,40
Thubarahalli,2,3800,2,65
Whitefield,2,2225,2,39
M.G Road,3,1250,3,110
Jigani,2,918,2,38
Mahadevpura,2,1250,2,80
Sarjapur  Road,2,1800,2,78
Marathahalli,3,1170,3,83.22
Byatarayanapura,2,1300,2,48
Bannerghatta Road,2,793,2,61
Jakkur,2,1710,2,48
Kambipura,4,1082,4,260
Naganathapura,3,1001,2,69
Srinivasa Nagar,3,1500,2,76
Yelahanka,2,1590,2,67.73
Basavanagara,2,2400,2,65
Horamavu Banaswadi,2,1554,2,65
Thanisandra,3,1000 - 1285,3,125
Bellandur,3,4239,3,84.29
Konanakunte,2,884,2,69
Hosa Road,3,1045,2,87
Marathahalli,4,1019,5,195
Ambedkar Nagar,2,1935,2,58
Uttarahalli,3,1135,3,130
Lakshminarayana Pura,2,1680,2,73
Hebbal,2,2470,2,71
1st Phase JP Nagar,2,2825,2,68
Hosakerehalli,2,2480,2,68
5th Phase JP Nagar,3,1260,3,115
Ramamurthy Nagar,3,1800,3,89
Kasavanhalli,2,1799,2,60.16
Whitefield,1,3606 - 5091,1,35
Attibele,2,400,2,68
Kundalahalli,3,1047,3,76.18
Kaverappa Layout,2,1282,2,78
NGR Layout,3,1020,3,79.465
Kammanahalli,3,1080,3,90
Whitefield,2,1495,2,47.39
Kasavanhalli,2,3260,2,49.49
Divya Unnathi Layout,3,1611,3,94
Koramangala,2,3500,2,65
Vasantha Vallabha Nagar,2,1500,2,50
Sahakara Nagar,4,1500,3,120
Yelahanka,2,3206,2,45
Uttarahalli,3,1540,2,80
Hosa Road,2,1639,2,85
Marathahalli,3,700,3,125
Raja Rajeshwari Nagar,3,1303,2,81
Koramangala,3,1005,3,148
Kammasandra,2,650 - 665,2,61
Chandapura,2,1305,2,47
Kothannur,2,600,2,44.5
sapthagiri Layout,2,1300,2,48
Brookefield,3,1440,3,105
Seegehalli,2,901,2,44
Rajaji Nagar,3,1725,3,115
Sarjapur,3,900,3,96
BEML Layout,2,1060,2,78
NGR Layout,3,1020,3,125
Varthur,3,1535,2,78
Alur,1,530,1,31.2
Haralur Road,2,1464,2,58
Devarabisanahalli,3,1350,3,122
Sarjapur  Road,4,1115,4,180
Uttarahalli,2,1175,2,45
Whitefield,3,1113,2,80
Uttarahalli,3,1200,2,73
Ramamurthy Nagar,3,1640,3,120
Giri Nagar,2,650,2,61.74
Marathahalli,3,1325,3,95
Electronics City Phase 1,2,950,2,53
Jakkur,2,1396,2,55
Rachenahalli,2,1050,2,65
Thanisandra,3,1825,2,110
7th Phase JP Nagar,2,1190,2,35
Marathahalli,2,1220,2,47.35
NRI Layout,3,1565,2,85
Hennur Road,2,1891,2,45
Sidedahalli,2,900,2,57
Hosa Road,3,1161,3,142
Sarjapur,2,633 - 666,2,60
Dwarka Nagar,2,2400,2,42
Rajaji Nagar,2,315,2,60
Yeshwanthpur,2,665,2,55
Mysore Road,3,1175,2,70
Hoodi,3,1425,3,72
Chikkabanavar,3,1200,2,52
ITPL,2,1200,2,60
Somasundara Palya,2,1255,2,70
Hegde Nagar,3,2112.95,2,60.1
Raja Rajeshwari Nagar,3,600,2,80
Haralur Road,4,1810,3,25
Indira Nagar,3,1200,2,70
Harlur,2,1033,2,68
ITPL,2,1548,2,38.52
Horamavu Banaswadi,2,1611,2,65
Electronic City Phase II,2,1400,2,105
Vidyaranyapura,4,1485,4,260
Margondanahalli,3,2400,2,160
Pattandur Agrahara,2,1025,2,145
Thurahalli,3,600,3,195
Hallehalli,2,1225,2,93
5th Phase JP Nagar,2,1256,2,103
Whitefield,2,2268,2,124
Kanakpura Road,2,1100,2,120
Vadarpalya,4,1141,3,250
Attibele,3,400,3,95
Chandapura,3,1400,3,95
Kattigenahalli,5,4100,5,415
Marathi Layout,3,5.31Acres,3,145
Weavers Colony,2,15,2,90
Raghavendra Nagar,5,1175,4,310
Sahakara Nagar,2,1100,2,80
Kanakpura Road,2,1843,2,60
1st Phase JP Nagar,3,1200,3,150
Horamavu Banaswadi,2,1460,2,85
Rachenahalli,2,1530,2,70
HSR Layout,1,1467,2,25
KR Layout,3,950,3,85
Vittasandra,3,1246,4,95
Kanakapura,2,711,2,43
Haralur Road,2,1194,2,65
Babusapalaya,3,1358,3,89.61
Nagasandra,2,1500,2,50
Hoodi,3,1420,3,97.42
Kathriguppe,3,1250,3,100
Akshaya Nagar,2,1280,2,43
Nagappa Reddy Layout,2,1209,2,45
Kempapura,3,4200,3,94.36
BTM 1st Stage,2,1215,2,62
Panathur,2,1315,2,43
Kariyammana Agrahara,2,1800,2,82.89
Hessarghatta,3,1600,3,90
TC Palaya,2,1600,2,38.37
Binnamangala,3,3968,3,104
Suraksha Nagar,3,1563,3,103
Whitefield,2,1560,2,49
Brookefield,3,2169,2,59
Lakshmi Layout,3,900,3,75
Rachenahalli,3,1050,3,63
Iblur Village,3,3235,2,47.1
TC Palaya,3,1200,2,74
HSR Layout,3,1140,4,185
7th Phase JP Nagar,2,1500,2,55
Horamavu Agara,2,1560,2,65
JP Nagar,3,1100,3,65
Kasavanhalli,3,1260,2,60
Hebbal,2,1036,2,40
Akshaya Nagar,3,1662,2,70
Yelachenahalli,2,1464,2,44
Yelahanka,2,1234,2,46.8
Sarjapur  Road,2,1403,2,44
Kadugondanahalli,3,915,3,65
2nd Stage Nagarbhavi,3,3000,3,59.76
Seegehalli,2,1150,2,43.2
Hebbal,2,3900,2,44.08
Yeshwanthpur,2,850,2,45
Kanakapura,3,929,3,60
2nd Stage Nagarbhavi,3,2400,2,53
TC Palaya,2,1350,2,37.8
Vasanthapura,2,1135,2,40.59
Basava Nagar,2,1405,2,46.62
Whitefield,3,1200,3,58.14
Haralur Road,3,2805,2,70
Yeshwanthpur,2,1161,2,42
Kanakpura Road,2,1290,2,39.06
Yeshwanthpur,2,2557,2,45
2nd Block Hrbr Layout,3,1480,2,55
BTM 1st Stage,3,3300,2,52.17
Old Madras Road,3,1350,3,74.4
Kadugodi,2,1580,2,46
Banashankari,2,1470,2,42.92
Ananth Nagar,3,500,2,52.17
Sarjapur  Road,3,1346,2,59.76
Canara Bank Layout,2,1600,2,42
Naganathapura,3,720,2,53.58
Narasapura,2,30Acres,2,45
Manjunath Nagar,2,1200,2,42.6
Basapura,2,1200,2,42
Channasandra,2,1340,2,42.69
Devanahalli,3,6136,2,57.91
Jigani,2,918,2,45.6
Singena Agrahara,2,1500,2,43.13
Yelahanka,2,1315,2,36.54
Sector 1 HSR Layout,2,2400,2,44.4
Uttarahalli,2,1390,2,39.69
Uttarahalli,2,1330,2,44
Jalahalli,2,3100,2,42
Mango Garden Layout,2,1824,2,42
7th Phase JP Nagar,2,1420,2,45.88
Kacharakanahalli,3,750,3,50
Jalahalli East,2,1260,2,44
Hennur Road,2,1561,2,42.6
5th Phase JP Nagar,3,812,2,57.91
"Bidere Agarahara, Behind Safal market",2,1060,2,44.4
Hoodi,2,1120,2,36.54
Haralur Road,2,1225,2,43.75
Thanisandra,2,2144,2,44.73
Kengeri,2,1200,2,42
Electronic City,3,880,2,54.99
Hoodi,2,1639,2,53
Thanisandra,2,1240,2,38
Kanakpura Road,2,1500,2,58
Haralur Road,2,1243,2,59
Marathahalli,3,1575,3,103
Haralur Road,2,1027,2,66
Kambipura,2,1082,2,76
Konanakunte,2,1637,2,50
Kanakpura Road,2,1665,2,74
Electronic City,2,1265,2,40
Electronic City,3,1691,2,98
Thanisandra,2,1100,2,60
Grihalakshmi Layout,2,24,2,82
Gopalkrishna Nagar,2,1500,2,56
Hosakerehalli,2,3205,2,79
Kammanahalli,2,1666,2,57
Choodasandra,2,1115,2,85
Mysore Road,2,1070,2,51
Indira Nagar,2,1128,2,72
Budigere,2,1162,2,72
Sai Gardens,3,1339,3,118
Mahadevpura,2,1192,2,60
Haralur Road,2,1920,2,65
Hennur,2,1255,2,62
Rajaji Nagar,3,1357,3,100
Dodda Kempaiah Layout,2,1600,2,55
Hanumanth Nagar,2,1225,2,59
Whitefield,2,2400,2,58
Kasturi Nagar,2,1570,2,59.99
Thanisandra,2,1093,2,65
Basaveshwara Nagar,2,1865,2,87
R.T. Nagar,2,1200,2,52
Kaikondrahalli,3,1039,3,120
Vittasandra,2,1246,2,48
Whitefield,2,1985,2,85
Hosakerehalli,2,1590,3,90
Hunasamaranahalli,3,4000,3,109
Electronic City Phase II,4,775,4,245
RWF West Colony,2,1000,2,69.44
Hebbal Kempapura,2,1800,3,92
Bommasandra,2,1035,2,60
Dasarahalli,3,1520,3,101
Whitefield,3,1360,3,105
Bileshivale,3,6000,3,115
Kodigehaali,2,1117,2,51
KR Puram,2,1200,2,63
EPIP Zone,3,1330,3,110
Marathahalli,2,1937,2,62
Electronic City,2,1128,2,48
Neeladri Nagar,3,1053,2,116
Panathur,1,1198,1,40
Marathahalli,2,1152,2,45
1st Block Jayanagar,2,1200,2,90
Frazer Town,2,1625,2,52
Kundalahalli,2,1397,2,83.5
Yeshwanthpur,3,1523,3,90
Kambipura,2,883,2,75
Kaggalipura,2,700,2,45
Yelahanka,2,1170,2,48.79
Kanakpura Road,2,1200,2,42.5
Manayata Tech Park,2,2400,2,43.5
Kullappa Colony,3,1480,3,95
Akshaya Nagar,3,1897,4,350
Rachenahalli,4,996,5,650
Haralur Road,3,1875,4,470
Williams Town,2,1500,2,120
Jaya Nagar East,2,3095,3,140
Ambalipura,2,1390,2,270
Yelahanka,3,1445 - 1455,3,280
Yelahanka,2,697,2,280
Sarjapur  Road,2,710,2,33
Iggalur,1,910,1,19
Sompura,4,1025,4,445
Magadi Road,3,884 - 1116,3,85
Harlur,1,1200,1,22.5
Horamavu Agara,2,1453,2,68
Sarjapur  Road,2,3335,2,70
Thanisandra,2,850 - 1093,2,59
Bellandur,2,1281,2,74
Cooke Town,2,565,2,68
Varthur,2,1024,2,56.7
Electronic City,2,1620,2,69
Whitefield,2,1254,2,55.86
Banashankari,3,1300,3,99
Doddakallasandra,2,1233,2,75.97
Chokkanahalli,2,1200,2,75.97
Hosur Road,3,1510,3,126
Kaggalipura,2,950,2,75.97
Battarahalli,3,1945,3,127
Uttarahalli,2,1008,2,75.97
Thanisandra,3,1265,3,129
Hebbal,3,1255,3,128
Kanakpura Road,2,2689,2,75.97
Yelenahalli,4,1200,4,185
Sarjapur  Road,2,1403,2,75.97
Kudlu Gate,2,1535,2,64.47
Chikkaballapur,2,1500,2,75.97
Chamrajpet,4,1475,5,170
Uttarahalli,2,1390,2,68.32
Raja Rajeshwari Nagar,2,1278,2,69.9
VGP Layout,4,1133,4,170
Classic Paradise Layout,3,1560,3,115
Byappanahalli,2,2900,2,52.5
Kogilu,2,1170,2,79.89
Sahakara Nagar,3,1200,3,120
Whitefield,3,1697,3,170
Thanisandra,2,1651,2,57
Vasanth nagar,2,1560,2,45
Hennur Road,2,1192,2,68.48
OMBR Layout,4,1078,3,185
Kumaraswami Layout,2,800,2,110
Kasavanhalli,4,1349,4,225
Ulsoor,3,2300,2,72
7th Phase JP Nagar,4,1680,4,255
Rayasandra,3,1314,3,68
Garudachar Palya,3,1060,3,82
Kalyan nagar,6,820,7,110
Whitefield,4,5000,4,250
BEML Layout,6,2000,7,107
Kalkere,2,856,2,62
Rajaji Nagar,2,1621,2,52
ITPL,2,1200,2,62
Bannerghatta Road,3,1484,3,150
T.C. Palya,3,600,3,225
Siddapura,2,14000,2,58.11
Yelahanka New Town,2,500,2,110
Makali,2,485,2,65
7th Phase JP Nagar,2,1050,2,56
Uttarahalli,3,1617,3,134
Electronic City,3,550,3,122
RWF West Colony,1,1384,1,50.75
Devanahalli,1,1408,1,54
Uttarahalli,1,1150,1,62
Akshaya Nagar,2,1410,2,122
Kaggadasapura,3,2150,3,139
Koramangala,3,2292,3,150
Malleshwaram,3,2006,3,164
Maragondanahalli,3,1508,3,147
Ramamurthy Nagar,3,1040,3,48
TC Palaya,3,1240,2,46
Kudlu Gate,3,1535,2,45
Lakshminarayana Pura,2,1180,2,33
Abbigere,3,2200,2,45
Bannerghatta Road,2,1400,2,37
Raja Rajeshwari Nagar,2,500,2,29
Whitefield,3,4800,2,47
Sarjapur  Road,2,1984,1,32
Whitefield,3,3000,2,50
Garudachar Palya,3,1960,2,52
Sarjapur  Road,3,1035,2,46
Vibuthipura,3,2150,2,42
Whitefield,2,1700,2,37
Hosakerehalli,3,3024,2,43
Tumkur Road,2,1586,1,32
Hennur,3,2264,2,52
Chikka Tirupathi,3,2325,2,50
Yelahanka,2,1120,2,33
Yelahanka,2,1440 - 1884,2,33
Sarjapur  Road,2,1128,2,30
5th Block Hbr Layout,3,1200,2,43
Jigani,3,924,2,45
Suraksha Nagar,3,1600,2,55.5
Pai Layout,3,1006,2,47
Amruthahalli,3,1200,2,48
Jalahalli West,3,1250,2,45
Defence Layout,3,1200,2,44
Kannamangala,2,957,2,27
Whitefield,3,1140,2,42
Roopena Agrahara,2,1050,2,32
Kasturi Nagar,2,1565,2,34
Whitefield,8,1190,8,140
Whitefield,1,2842,1,19.5
Kanakpura Road,1,1558.67,1,25
Electronics City Phase 1,2,630,3,44
Whitefield,3,1403,3,90
Kanakpura Road,2,1542,2,45
Haralur Road,2,2750,2,46
Iblur Village,2,3596,1,55
Kengeri Satellite Town,4,1635,4,85
Mysore Road,2,1239,2,50
Haralur Road,2,1194,2,40
Dooravani Nagar,2,1596,2,53
Channasandra,2,1009,2,54
Hosa Road,3,1726,3,49.36
Kudlu Gate,3,1535,3,46
Banashankari Stage V,2,1300,2,41
Whitefield,2,3100,2,41.73
Coconut Garden,2,1800,2,40
Binny Pete,2,665,2,30
Chamrajpet,2,4050,2,37.46
TC Palaya,2,1500,2,41.43
Kalkere,3,925,2,50.28
Old Airport Road,2,3356,2,40
Gollahalli,2,1395,2,35
Sonnenahalli,2,1415,2,35.28
Begur,2,1419,2,39.77
Kasavanhalli,2,1121,2,35
Kambipura,2,1082,2,40.89
KR Puram,2,1100,2,37.2
Hoodi,2,1606,1,32
Billekahalli,3,1650,3,50
D Souza Layout,3,4634,3,90
Old Airport Road,2,1206,2,45
Sarjapur  Road,2,1495,2,29
Malleshwaram,3,840,3,52.81
Electronic City,2,710,2,30
Balagere,3,1210,3,49.36
Nagarbhavi,3,1523,3,52.82
Whitefield,2,1232,2,37.97
Rachenahalli,2,680,2,40
Hebbal,3,1355,3,53.96
Thanisandra,2,1430,2,31.48
Kothannur,3,1275,2,40.44
Electronic City,3,1070,2,38.13
Bettahalsoor,2,1200,2,29.45
Electronic City,2,2000,2,33.64
Bommanahalli,2,1200,2,31.48
Marathahalli,2,1610,2,28.88
Haralur Road,2,1140,2,29.45
Raja Rajeshwari Nagar,2,1143,2,33.51
Jakkur,2,3467.86,2,32.49
Rachenahalli,2,1530,2,32.49
7th Phase JP Nagar,2,980,2,32.64
Whitefield,2,1485,2,30.75
Whitefield,3,1500,3,125
Whitefield,4,1280,3,145
Thanisandra,4,1265,3,135
"ECC Road, Whitefield, ",4,1132,3,135
Ashwath Nagar,4,1262,3,128
JP Nagar,3,940,3,250
Seetharampalya,3,1515,3,96
Jigani,4,1300,3,140
Kothanur,4,1840,2,150
Electronic City,2,890,2,38.68
Rukmaiah Layout,3,1655,3,111
Hennur Road,2,2060,2,90
Bommanahalli,2,1730,2,69
Yelahanka,3,2195,3,93
Kathriguppe,3,1650,3,95
KR Puram,2,1200,2,69
Hosa Road,2,1079,2,70
Panathur,4,1085,4,240
Maruthi Sevanagar,3,5000,3,105
Yelahanka,4,1075,4,152
Devanahalli Int. Airport,2,1380,2,75
Puttanahalli,2,1450,2,80
Thubarahalli,2,1200,2,70
Benson Town,3,3200,3,85
Hoodi,2,1639,2,48
Jakkuru Layout,2,1200,2,55
Vijayanagar,4,1739,3,140
Palanahalli,2,4346,2,66.5
Old Madras Road,5,935,6,175
 Thanisandra,2,510,2,50
Devasandra Extension,2,1200,2,55
Nagondanahalli,2,1178,2,75
Chikkalasandra,2,1375,2,49
Chandapura,2,1065,2,56
2nd Phase Judicial Layout,2,1450,2,95
BEML Layout,3,999,3,115
Amruthahalli,2,4400,2,94
Marathahalli,2,1350,2,72
Kothannur,3,1100,3,115
Koramangala,4,1835,3,149
Hoodi,2,2090,2,84.5
Lingadheeranahalli,2,1519,2,70
Dommasandra,2,1267,2,90
Sanjay nagar,3,1150,3,140
Marathahalli,2,1146,2,56.4
1st Block HRBR Layout,2,1200,2,59.9
Kannamangala,3,1550,4,103
Chandapura,2,850,2,57
Richmond Town,2,2200,2,57
"Sarjapur Road, ",2,3329,2,56.8
Electronics City Phase 1,2,785,2,56.85
Hebbal Kempapura,3,2900,4,100
Raja Rajeshwari Nagar,1,1610,1,35
Bellandur,3,921,3,93
Kengeri Satellite Town,3,850,3,85
Bannerghatta Road,2,2700,2,70
Sarjapur  Road,2,1700,2,60
Sarjapur,3,1020,3,93
Billekahalli,2,1090,2,58
Bagalur Main Road,3,3600,3,85
Haralur Road,2,1027,2,54.3
Thanisandra,1,1185,1,35.4
Doddathoguru,2,850,2,56.7
Harlur,2,1197,2,56.5
Byadarahalli,3,3500,3,83
Poorna Pragna Layout,1,920,1,34
Chamrajpet,2,716Sq. Meter,2,58
Raja Rajeshwari Nagar,2,1105,2,60
Yeshwanthpur,3,1850,3,99
Judicial Layout,2,1300,2,56.725
"Varthur Road, ",3,1595,3,95
Kodihalli,3,3073,4,100
Horamavu Agara,3,755,3,95.5
Nagasandra,2,4050,2,56
Kanakpura Road,1,1300,1,34.545
Bannerghatta Road,2,1215,2,56.5
Kanakpura Road,2,900,2,58
Banashankari Stage III,3,1145,3,88
Chikka Banaswadi,2,1093,2,56.55
Babusapalaya,2,1213,2,56.5
Bannerghatta Road,2,1654,2,60
NGR Layout,3,1105,4,370
Babusapalaya,4,1611,3,425
Outer Ring Road East,3,1367,2,75
Devanahalli,3,1010,2,90
Kavika Layout,1,750,1,36
Vinayaka Nagar,4,1535,3,200
Anekal,1,620,1,50
Horamavu Agara,2,982,2,63
Banashankari Stage II,3,1700,2,56
Whitefield,2,1330,2,60
JP Nagar,2,2500,2,55
Poorna Pragna Layout,2,1475,2,65
Bhoganhalli,3,1410,4,120
Yelahanka New Town,4,440,3,475
Yelahanka,2,1614,2,55
Neeladri Nagar,2,1363,2,55
Kogilu,2,650,2,37
Dodda Kempaiah Layout,2,1015,2,49
Horamavu Banaswadi,2,1156,2,98
Hennur Busstop,2,1100,2,47.5
KR Puram,3,1455,3,126
GB Palya,2,930,2,50
AMS Layout,2,1650,2,60
KR Puram,2,1200,2,85
9th Block Jayanagar,3,700,2,85
Karuna Nagar,2,2900,2,58
Kadugodi,2,1890,2,61
Ashwathnagar,2,2197,2,55
Hebbal Kempapura,2,3522,2,65
Gaurava Nagar,2,1240,2,50
HRBR Layout,2,1440,2,95
Kodichikkanahalli,1,650,2,50
Budigere,2,764,2,46
Sector 7 HSR Layout,3,900,2,78
Raja Rajeshwari Nagar,3,1693,2,78
Hoodi,2,1445,2,38
Kanakpura Road,2,900,2,62
Singasandra,3,1030,3,260
Yelahanka,4,1381,3,165
Basapura,3,1100,3,230
Hoodi,3,1575,3,307
Thigalarapalya,3,1200,3,298
Begur Road,3,1200,3,210
Kasturi Nagar,2,1080,2,45
Hebbal Kempapura,2,2280,2,35
Akshaya Nagar,3,1360,2,90
Jakkur,3,1865,3,90
Sarjapur  Road,3,1157,3,91.855
Kammasandra,3,674,3,99
Whitefield,1,1405,1,22.49
Begur Road,3,1160,3,123
Kengeri Satellite Town ( BDA SITE),3,1600,2,120
Hebbal,4,1790,2,170
Electronic City,2,1128,2,180
Panathur,2,1180,2,162
AGS Layout,4,1450,4,211
Kengeri,1,340,1,85
Srinagar,3,2000,3,98.91
Rachenahalli,2,1050,1,52
Varthur,3,1125,3,115
Vittasandra,7,1246,7,250
HSR Layout,1,1372,1,16.45
Uttarahalli,1,1330,1,16.45
Binny Pete,2,2465,2,32
Dasarahalli,2,1300,2,27.68
Brigade Road,1,1420,1,15.135
Bannerghatta,3,810,2,33
Channasandra,2,1065,2,25.4
Hessarghatta,1,700,1,13.57
Hebbal,1,547.34 - 827.31,1,16.45
Belathur,1,1050,1,14.04
Maruthi HBCS Layout,2,1250,1,36
Electronic City,1,865,1,16.45
Uttarahalli,1,1200,1,16.45
Srirampura,2,1756,1,19
Malleshwaram,3,750,2,32
Yelahanka,3,628,3,42
9th Phase JP Nagar,2,1200,2,29.5
5th Phase JP Nagar,1,1207,1,16.45
Kalena Agrahara,3,1765,2,42
Electronic City,1,1130,1,16.45
Devanahalli Road,2,1532,2,30
Ejipura,2,1650,2,27.68
Horamavu Banaswadi,2,1200,2,25
Bhoganhalli,1,804.1,1,16.45
Doddathoguru,2,1200,2,25.29
Kengeri,2,1197,2,25.65
Green Woods Layout,2,1200,2,36
Uttarahalli,1,1385,1,16.45
Craig Park Layout,2,1010,2,27.68
Whitefield,3,2225,2,39.5
Immadihalli,1,1180,1,14.04
Banagiri Nagar,3,1525,2,42
Ananth Nagar,1,1100,1,10
Hiremath Layout,1,1435,1,16.45
Attibele,1,400,1,16.45
Dommasandra,2,1200,2,36
Whitefield,2,1272,1,22
Whitefield,2,1205,2,28.47
Kalena Agrahara,1,980,1,14.04
Malleshpalya,3,1225,2,85.05
Whitefield,1,1541,1,75
Ramagondanahalli,3,1610,3,130
Jalahalli,3,1694,2,85.05
Jnanabharathi Layout,3,600,2,190
Kaggalipura,2,950,2,38.34
Muneshwara Nagar,2,1560,2,35
Chandapura,3,1201,2,90
Chandapura,2,1500,2,33.45
Malleshpalya,2,1785,2,34.5
Raja Rajeshwari Nagar,6,1258,6,180
Electronic City,2,910,2,40
Thigalarapalya,3,1297,3,67.77
Kundalahalli,2,1291,2,35.5
Chikkasandra,2,1070,2,55
Varthur,2,1012,2,41
Mahadevpura,2,1260,2,40.47
Sarjapur  Road,2,1282,2,38
Kanakpura Road,2,1843,2,35
Bharath Housing Society Layout,2,2400,2,34
Chikka Tirupathi,2,3356,2,40
Hebbal,2,2790,2,36
EPIP Zone,2,1330,2,36
Konanakunte,2,1400,2,35
Whitefield,4,1192,4,89.45
3rd Block Jayanagar,3,1000,2,51.83
Thigalarapalya,2,1297,2,37
Sarjapur  Road,2,580 - 650,2,35.8
Vijayanagar,3,1490,3,61.95
Rayasandra,2,1373,2,36.28
7th Phase JP Nagar,3,1035,3,67.77
Kadugodi,3,3750,2,56
Doddakallasandra,2,1010,2,38
Sarjapur,2,1195,2,46.13
HSR Layout,2,1750,2,36
Malleshpalya,2,1052,2,44.41
Horamavu Banaswadi,2,1180,2,32
Padmanabhanagar,2,3680,2,40
Hormavu,3,2100,3,55
Hoodi,2,2863,2,50
Raja Rajeshwari Nagar,5,1128,6,165
Ulsoor,3,2700,2,52
JP Nagar,2,1120,2,40
HSR Layout,6,2424,6,98
Manjunatha Layout,2,1300,2,62.4
Kanakapura,2,1090,2,45
Yelahanka,2,2710,2,56.87
Konanakunte Cross,3,3040,2,74.72
Uttarahalli,2,1330,2,56.1
Hosur Road,2,1427,2,58.4
Banjara Layout,2,1294,2,55.85
Begur,2,1580,2,52.79
Uttarahalli,3,400,3,75.48
Chikka Tirupathi,3,1808,2,86.96
Rajaji Nagar,2,3516,2,75
Parappana Agrahara,2,1194,2,44.8
Kanakpura Road,2,900,2,45
Abbaiah Reddy Layout,2,1310,2,52
Kanakpura Road,2,900,2,65
Singasandra,2,3850,2,75
Kogilu,4,925,5,120
